code,name,value,correlation_cof,p_value,n,presentmentioned
SL,homer_bookwright,0.7073712498046059,0.7073712498046059,1.3266772219700222e-45,1,Present
SL,mrs._armstid,0.5131239707520024,0.5131239707520024,5.170690900198947e-21,1,Present
SL,mrs._grier,0.5412025455689795,0.5412025455689795,1.2828949400882243e-23,1,Present
SL,res_grier,0.9793551580288676,0.9793551580288676,2.1036823677242828e-203,1,Present
SL,reverend_whitfield,0.5418776882309503,0.5418776882309503,1.1028237431020373e-23,1,Present
SL,solon_quick,0.7371850980379479,0.7371850980379479,2.682138922621283e-51,1,Present
SNP,major_de_spain(2),0.6921240545248717,0.6921240545248717,3.858899336934645e-27,1,Present
SNP,mrs._res_grier,0.9877117965881732,0.9877117965881732,3.1049772452008845e-146,1,Present
SNP,unnamed_negro_butler,0.6921240545248717,0.6921240545248717,3.858899336934645e-27,1,Present
SY,unnamed_negro_murderer,0.695671685006355,0.695671685006355,0,1,Present
T,gavin_stevens,0.5543312867231106,0.5543312867231106,0,6,Present
TES,caddy,0.6975385436932021,0.6975385436932021,3.115222931131419e-91,1,Present
TES,jason_(father),0.5971034958803831,0.5971034958803831,5.699607115389947e-61,1,Present
TES,jason_(son),0.5866240044717729,0.5866240044717729,2.0778821461744412e-58,1,Present
TES,nancy,0.8348948619174645,0.8348948619174645,7.039518373898892e-162,1,Present
