code,name,value,correlation_cof,p_value,n,presentmentioned
DS,black_free_black_male,0.9999999999999998,0.9999999999999998,0,7,Mentioned
DS,white_middle_class_female,0.7275524420365779,0.7275524420365779,6.397111140113659e-33,4,Mentioned
EIC,white_lower_class_female,0.7818334612326272,0.7818334612326272,1.7674873387677936e-69,9,Mentioned
EIC,white_lower_class_male,0.8194066277639184,0.8194066277639184,1.6397129246376476e-81,20,Mentioned
ELY,white_upper_class_female,0.699741521512341,0.699741521512341,8.782991145939396e-48,12,Mentioned
ELY,white_upper_class_male,0.5284387215305134,0.5284387215305134,3.972694120354148e-24,30,Mentioned
FAH,white_lower_class_male,0.7561815039671184,0.7561815039671184,4.7844716312154735e-59,20,Mentioned
FAH,white_middle_class_male,0.6237303589238176,0.6237303589238176,4.90661166954846e-35,15,Mentioned
FAH,white_poor_white_male,0.5096782534281605,0.5096782534281605,4.970424509945383e-22,8,Mentioned
FD,white_upper_class_male,0.7127533433690845,0.7127533433690845,0,30,Mentioned
GDM,white_upper_class_male,0.863865184778257,0.863865184778257,0,30,Mentioned
GOD,black_free_black_female,0.6355515728785729,0.6355515728785729,2.7088244130734776e-32,3,Mentioned
GOD,black_free_black_male,0.5273530267443863,0.5273530267443863,6.05978315283454e-21,7,Mentioned
GOD,mixedblackwhite_free_black_male,0.8208890076107738,0.8208890076107738,6.862431740166583e-68,1,Mentioned
GOD,white_upper_class_male,0.7672394065286089,0.7672394065286089,3.340222586465057e-54,30,Mentioned
GOL,black_free_black_male,0.6290797716903119,0.6290797716903119,2.5621055587615153e-24,7,Mentioned
GOL,white_middle_class_male,0.6273319587528791,0.6273319587528791,3.732902821330806e-24,15,Mentioned
GOL,white_upper_class_male,0.7820600621519483,0.7820600621519483,3.4963649937814913e-44,30,Mentioned
H,white_lower_class_male,0.6219066595003204,0.6219066595003204,0,20,Mentioned
H,white_middle_class_male,0.5004541126730396,0.5004541126730396,2.942721e-317,15,Mentioned
H,white_poor_white_male,0.5602600851526064,0.5602600851526064,0,8,Mentioned
HR,white_lower_class_female,0.7013082239556159,0.7013082239556159,8.137923849132308e-28,9,Mentioned
HR,white_lower_class_male,0.7911150249717046,0.7911150249717046,1.232755390739903e-39,20,Mentioned
HUW,white_lower_class_male,0.7432422362667443,0.7432422362667443,1.9178928590199147e-67,20,Mentioned
HUW,white_middle_class_male,0.7004297028289729,0.7004297028289729,6.939863930323165e-57,15,Mentioned
HUW,white_poor_white_male,0.8894837011103981,0.8894837011103981,1.3242540637561988e-129,8,Mentioned
ID,black_free_black_male,0.7695073381280658,0.7695073381280658,0,7,Mentioned
ID,white_lower_class_male,0.8483835307162706,0.8483835307162706,0,20,Mentioned
ID,white_upper_class_female,0.7710770846788862,0.7710770846788862,0,12,Mentioned
ID,white_upper_class_male,0.8967066498500359,0.8967066498500359,0,30,Mentioned
J,white_lower_class_male,0.5041407138054077,0.5041407138054077,7.656224544439874e-16,20,Mentioned
KGB,white_upper_class_female,0.7887847084227714,0.7887847084227714,6.845044154970267e-245,12,Mentioned
KGB,white_upper_class_male,0.806427675785428,0.806427675785428,3.3740550879081155e-264,30,Mentioned
LA,indeterminable_lower_class_male,0.6064763570182674,0.6064763570182674,0,1,Mentioned
LA,white_lower_class_female,0.6403430168820137,0.6403430168820137,0,9,Mentioned
LA,white_lower_class_male,0.742491741386134,0.742491741386134,0,20,Mentioned
LA,white_middle_class_female,0.6427939006833319,0.6427939006833319,0,4,Mentioned
LD,white_lower_class_male,0.9877062365626269,0.9877062365626269,0,20,Mentioned
LIO,white_upper_class_male,0.6143068269049365,0.6143068269049365,1.1180094140192275e-15,30,Mentioned
LJC,white_lower_class_female,0.6164659023382533,0.6164659023382533,8.618598851814112e-33,9,Mentioned
M,white_lower_class_male,0.6130122360700515,0.6130122360700515,0,20,Mentioned
M,white_middle_class_male,0.7807175716691912,0.7807175716691912,0,15,Mentioned
MGM,white_upper_class_female,0.5395285907992984,0.5395285907992984,6.863372778366732e-42,12,Mentioned
MGM,white_upper_class_male,0.7540095880336003,0.7540095880336003,1.0203165947200198e-99,30,Mentioned
MNK,white_middle_class_male,0.6177311369149697,0.6177311369149697,5.912355690486068e-21,15,Mentioned
MNK,white_poor_white_male,0.6966533446896628,0.6966533446896628,2.4235744929174234e-28,8,Mentioned
MY,white_indeterminable_male,0.5979070291304096,0.5979070291304096,1.0041410491582043e-10,1,Mentioned
MY,white_lower_class_male,0.9245050395878852,0.9245050395878852,1.417511030636569e-41,20,Mentioned
MZG,white_lower_class_female,0.6652070863764593,0.6652070863764593,6.0265019446607065e-18,9,Mentioned
MZG,white_lower_class_male,0.8154020080651769,0.8154020080651769,3.525600984171268e-32,20,Mentioned
OLD,indian_indian_tribal_leader_male,0.7315737283777356,0.7315737283777356,2.9026765919028457e-13,1,Mentioned
OLD,white_upper_class_male,0.6856970341349514,0.6856970341349514,3.017388144073092e-11,30,Mentioned
PAN,black_free_black_female,0.6142563733752707,0.6142563733752707,1.9386685292845993e-5,3,Mentioned
PAN,white_upper_class_male,0.5987907440071335,0.5987907440071335,3.5376861705260784e-5,30,Mentioned
POL,black_free_black_male,0.7732938423591134,0.7732938423591134,2.8571853380378955e-35,7,Mentioned
POL,white_upper_class_male,0.8494895063648044,0.8494895063648044,8.462486899889649e-49,30,Mentioned
RAI,white_upper_class_female,0.89191831251594,0.89191831251594,1.0901826507131667e-103,12,Mentioned
RAI,white_upper_class_male,0.5726105265042797,0.5726105265042797,2.844404384657812e-27,30,Mentioned
RAM,white_poor_white_female,0.6012002084424594,0.6012002084424594,2.9536960741519733e-10,2,Mentioned
RAM,white_poor_white_male,0.591149829611333,0.591149829611333,6.864317685683418e-10,8,Mentioned
RE,white_upper_class_male,0.781375909385025,0.781375909385025,3.4618360325276e-16,30,Mentioned
RET,white_upper_class_female,0.6917559785523887,0.6917559785523887,1.86051207225752e-45,12,Mentioned
RET,white_upper_class_male,0.5669227688492111,0.5669227688492111,9.316911065195835e-28,30,Mentioned
SAS,white_upper_class_female,0.7367558365209956,0.7367558365209956,1.01005295858412e-44,12,Mentioned
SAS,white_upper_class_male,0.7989518220748594,0.7989518220748594,1.3983110754400193e-57,30,Mentioned
SF,white_upper_class_male,0.9902666587218042,0.9902666587218042,0,30,Mentioned
SH,white_lower_class_male,0.7219262756040831,0.7219262756040831,4.142128303462104e-53,20,Mentioned
SL,white_poor_white_male,0.8936297889671809,0.8936297889671809,1.6023589438946585e-35,8,Mentioned
SMO,white_lower_class_male,0.5038058433071929,0.5038058433071929,4.6695122550953874e-29,20,Mentioned
SMO,white_middle_class_male,0.6930098975670691,0.6930098975670691,8.353859616757787e-63,15,Mentioned
SNP,white_lower_class_male,0.5958730354983403,0.5958730354983403,5.580640490047905e-16,20,Mentioned
SNP,white_poor_white_male,0.6777386317978571,0.6777386317978571,8.886861058249482e-22,8,Mentioned
SNP,white_upper_class_male,0.8097662660490181,0.8097662660490181,1.4844819668298402e-36,30,Mentioned
SY,white_lower_class_male,0.640993489131221,0.640993489131221,0,20,Mentioned
T,white_lower_class_male,0.7271158530954809,0.7271158530954809,0,20,Mentioned
T,white_middle_class_female,0.5506744832252529,0.5506744832252529,0,4,Mentioned
T,white_upper_class_male,0.6372888889339853,0.6372888889339853,0,30,Mentioned
TES,black_free_black_female,0.5654880547245698,0.5654880547245698,3.194791648643817e-48,3,Mentioned
TES,black_free_black_male,0.6979735798819872,0.6979735798819872,3.1192382033826774e-82,7,Mentioned
TH,white_lower_class_male,1,1,0,20,Mentioned
TM,white_lower_class_female,0.5687074600409434,0.5687074600409434,2.0520317310376256e-17,9,Mentioned
TM,white_middle_class_male,0.6401725339216521,0.6401725339216521,5.945560586288239e-23,15,Mentioned
TM,white_yeoman_male,0.5988570596559358,0.5988570596559358,1.3929894425820625e-19,1,Mentioned
TO,white_lower_class_female,0.6030921103532507,0.6030921103532507,1.4399515048269239e-24,9,Mentioned
TO,white_lower_class_male,0.571613515078334,0.571613515078334,1.0639890630005051e-21,20,Mentioned
TO,white_poor_white_male,0.6089668477696858,0.6089668477696858,3.8661483591431065e-25,8,Mentioned
TWB,white_middle_class_female,0.581271646327692,0.581271646327692,3.1280166555523354e-29,4,Mentioned
TWB,white_middle_class_male,0.956222253600608,0.956222253600608,2.381156452832977e-165,15,Mentioned
TWQ,white_upper_class_female,0.5823290903608688,0.5823290903608688,8.217618427509421e-29,12,Mentioned
TWQ,white_upper_class_male,0.657159616578972,0.657159616578972,1.027831287404348e-38,30,Mentioned
TWS,white_lower_class_male,0.877257260869039,0.877257260869039,8.272088615978127e-109,20,Mentioned
UNV,white_middle_class_male,0.5611026013136359,0.5611026013136359,2.1100911564103422e-15,15,Mentioned
UNV,white_upper_class_male,0.7233245767929989,0.7233245767929989,1.1734967891405252e-28,30,Mentioned
UV,white_upper_class_female,0.6324272598179301,0.6324272598179301,7.493916047348569e-253,12,Mentioned
UV,white_upper_class_male,0.592585389889308,0.592585389889308,1.833148915316087e-214,30,Mentioned
UW,white_middle_class_male,0.8171298568324935,0.8171298568324935,4.468262474217467e-28,15,Mentioned
VEN,white_upper_class_female,0.797102261332984,0.797102261332984,4.368932941977245e-39,12,Mentioned
VEN,white_upper_class_male,0.6938538610784172,0.6938538610784172,5.018010961366639e-26,30,Mentioned
W,white_middle_class_male,0.6844833758739564,0.6844833758739564,7.042234646350896e-13,15,Mentioned
W,white_poor_white_female,0.6846344911815301,0.6846344911815301,6.929251597364516e-13,2,Mentioned
W,white_upper_class_male,1,1,0,30,Mentioned
AA,mixedblackwhite_upper_class_male,0.9136286225255089,0.9136286225255089,0,1,Present
AA,white_upper_class_male,0.9587302591181533,0.9587302591181533,0,36,Present
ABH,white_lower_class_male,0.9789370724283935,0.9789370724283935,1.2550487132159044e-196,23,Present
ABH,white_upper_class_male,0.6724007166943374,0.6724007166943374,1.0030257049704878e-38,36,Present
AD,white_indeterminable_male,0.8153721697322852,0.8153721697322852,7.682528002332829e-139,2,Present
AD,white_lower_class_male,0.5836229102282502,0.5836229102282502,4.6332164495673297e-54,23,Present
AD,white_middle_class_female,0.5412502818637379,0.5412502818637379,2.6770302781001862e-45,6,Present
AD,white_upper_class_male,0.974225783733218,0.974225783733218,0,36,Present
ADP,white_lower_class_male,0.5551364930013956,0.5551364930013956,1.801421004344177e-33,23,Present
